name,weather,humidity,temp,speed,grnd_level,dt,hour
146,Kalas,Clouds,91,295.63,4.06,945,2024-07-26 11:15:46,11
147,Kalmeshwar,Clouds,88,300.94,5.47,959,2024-07-26 11:15:48,11
148,Kālundri,Clouds,88,302.15,6.13,1003,2024-07-26 11:12:04,11
149,Kalyān,Clouds,88,301.12,5.29,1002,2024-07-26 11:15:29,11
150,Kalyani Nagar,Clouds,78,298.46,7.7,943,2024-07-26 11:15:49,11
151,Kamargaon,Clouds,96,294.66,3.71,924,2024-07-26 11:15:50,11
152,Kamptee,Clouds,85,301.32,5.04,968,2024-07-26 11:15:50,11
153,Kāndri,Rain,89,300.91,4.33,961,2024-07-26 11:15:50,11
154,Kankauli,Clouds,88,299.87,4.93,1001,2024-07-26 11:15:51,11
155,Kannad,Clouds,72,299.18,9.71,933,2024-07-26 11:11:42,11
156,Karad,Clouds,83,298.48,6.5,943,2024-07-26 11:11:05,11
157,Karajagi,Clouds,77,298.59,6.88,954,2024-07-26 11:15:53,11
158,Kāranja,Clouds,82,299.03,7.67,955,2024-07-26 11:15:53,11
159,Karjat,Clouds,89,299.65,4.75,998,2024-07-26 11:15:55,11
160,Karmāla,Clouds,80,297.46,7.64,944,2024-07-26 11:15:56,11
161,Kasara,Clouds,88,298.25,6.45,972,2024-07-26 11:15:57,11
162,Kati,Rain,96,294.42,1.67,965,2024-07-26 11:15:59,11
163,Kātol,Clouds,93,297.41,5.62,954,2024-07-26 11:11:42,11
164,Khadki,Clouds,78,298.35,7.62,943,2024-07-26 11:15:27,11
165,Khalapur,Clouds,90,299.34,4.3,996,2024-07-26 11:16:01,11
166,Khāmgaon,Clouds,76,300.47,7.29,964,2024-07-26 11:16:02,11
167,Khānāpur,Clouds,88,298.94,7.3,936,2024-07-26 11:16:02,11
168,Khandala,Clouds,74,297.54,5.43,923,2024-07-26 11:16:03,11
169,Khāpa,Clouds,91,301.12,4.31,964,2024-07-26 11:11:42,11
170,Kharakvasla,Clouds,83,297.66,6.87,942,2024-07-26 11:16:04,11
171,Kharda,Clouds,83,296.82,7.67,949,2024-07-26 11:16:04,11
172,Kharghar,Clouds,87,301.14,6.69,1003,2024-07-26 11:16:04,11
173,Khed,Clouds,83,301.23,4.26,1003,2024-07-26 11:16:05,11
174,Khetia,Clouds,80,300.89,6.67,978,2024-07-26 11:16:06,11
175,Khoni,Clear,65,298.7,1.03,990,2024-07-26 11:16:06,11
176,Khopoli,Clouds,89,298.58,4.63,982,2024-07-26 11:16:06,11
177,Khuldābād,Clouds,74,297.66,9.49,915,2024-07-26 11:11:42,11
178,Kinwat,Clouds,86,298.04,7.61,967,2024-07-26 11:16:07,11
179,Kodoli,Clouds,88,297.61,6.39,944,2024-07-26 11:11:42,11
180,Kolhāpur,Clouds,84,298.21,7.61,945,2024-07-26 11:16:07,11
181,Kondalwādi,Clouds,92,295.81,6.32,963,2024-07-26 11:16:08,11
182,Kondhali,Clouds,91,300.16,5.94,949,2024-07-26 11:16:08,11
183,Kopar Khairane,Clouds,83,301.16,5.14,1003,2024-07-26 11:16:08,11
184,Kopargaon,Clouds,67,299.83,10.52,948,2024-07-26 11:16:08,11
185,Korādi,Haze,89,301.16,4.12,965,2024-07-26 11:16:09,11
186,Koregaon,Clouds,74,299.03,9.07,943,2024-07-26 11:11:42,11
187,Kudāl,Clouds,87,300.25,5.77,1003,2024-07-26 11:16:10,11
188,Kurandvād,Clouds,77,299.25,9.55,946,2024-07-26 11:16:11,11
189,Kurduvādi,Clouds,88,296.35,5.39,948,2024-07-26 11:16:11,11
190,Kusumba,Clouds,85,299.14,4.95,970,2024-07-26 11:16:12,11
191,Lānja,Clouds,87,300.05,5.3,990,2024-07-26 11:16:13,11
192,Lāsalgaon,Clouds,73,299.1,11.0,938,2024-07-26 11:15:58,11
193,Latur,Clouds,89,295.17,6.98,934,2024-07-26 11:16:13,11
194,Lavasa,Clouds,89,295.25,4.86,926,2024-07-26 11:16:13,11
195,Lohogaon,Clouds,77,298.31,8.07,939,2024-07-26 11:16:14,11
196,Lonār,Clouds,81,297.71,8.42,938,2024-07-26 11:16:14,11
197,Lonavla,Clouds,87,296.15,5.66,936,2024-07-26 11:16:14,11
198,Mahābaleshwar,Clouds,88,291.79,4.4,859,2024-07-26 11:16:15,11
199,Mahād,Clouds,87,300.18,3.35,1005,2024-07-26 11:16:15,11
200,Maindargi,Clouds,82,297.67,6.93,954,2024-07-26 11:16:17,11
201,Mājalgaon,Clouds,81,297.65,7.76,957,2024-07-26 11:16:17,11
202,Mākhjan,Clouds,82,301.32,4.31,1004,2024-07-26 11:16:18,11
203,Malegaon,Clouds,66,301.51,9.93,954,2024-07-26 11:16:20,11
204,Malkāpur,Clouds,80,299.96,5.86,973,2024-07-26 11:16:20,11
205,Mālvan,Clouds,85,300.79,8.91,1005,2024-07-26 11:16:20,11
206,Manchar,Clouds,75,298.11,9.1,930,2024-07-26 11:16:21,11
207,Mandhal,Clouds,49,308.24,6.51,994,2024-07-26 11:16:22,11
208,Mandwa,Clouds,84,299.59,5.08,975,2024-07-26 11:16:22,11
209,Mangaon,Clouds,89,299.54,4.57,1004,2024-07-26 11:16:24,11
210,Mangrūl Pīr,Clouds,80,299.23,8.58,953,2024-07-26 11:16:24,11
211,Mājalgaon,Clouds,81,297.65,7.76,957,2024-07-26 11:11:42,11
212,Mankhurd,Clouds,83,301.16,5.14,1003,2024-07-26 11:16:26,11
213,Manmād,Clouds,69,300.08,12.71,939,2024-07-26 11:16:26,11
214,Manor,Clouds,89,300.49,6.62,1001,2024-07-26 11:16:27,11
215,Mansar,Rain,89,301.0,4.41,962,2024-07-26 11:16:27,11
216,Mānwat,Clouds,79,297.78,7.6,955,2024-07-26 11:16:27,11
217,Mātherān,Clouds,90,296.3,4.82,921,2024-07-26 11:16:30,11
218,Mehekar,Clouds,78,298.76,9.62,942,2024-07-26 11:16:33,11
219,Mehergaon,Clouds,70,301.36,10.51,964,2024-07-26 11:16:33,11
220,Mehkar,Clouds,78,298.69,9.62,941,2024-07-26 11:16:33,11
221,Mhasla,Clouds,86,300.71,6.06,1003,2024-07-26 11:16:34,11
222,Mhāsvād,Clouds,63,300.77,10.64,939,2024-07-26 11:11:42,11
223,Miraj,Clouds,78,299.23,9.77,944,2024-07-26 11:16:34,11
224,Mohadi,Clouds,80,298.15,9.77,937,2024-07-26 11:16:35,11
225,Mol,Clouds,49,294.8,2.09,1005,2024-07-26 11:16:35,11
226,Mohpa,Clouds,90,300.79,5.18,959,2024-07-26 11:16:35,11
227,Moram,Clouds,89,295.67,6.56,940,2024-07-26 11:16:36,11
228,Morsi,Clouds,93,297.73,4.6,961,2024-07-26 11:11:42,11
229,Mowād,Clouds,96,296.91,4.27,955,2024-07-26 11:16:37,11
230,Mudkhed,Clouds,87,300.17,6.79,961,2024-07-26 11:16:37,11
231,Mukher,Clouds,84,296.89,7.18,957,2024-07-26 11:16:37,11
232,Mūl,Rain,92,297.51,4.54,979,2024-07-26 11:11:42,11
233,Mumbai,Mist,84,302.14,4.12,1002,2024-07-26 11:12:46,11
234,Murbād,Clouds,88,299.28,5.46,995,2024-07-26 11:16:40,11
235,Murgūd,Clouds,86,297.93,7.09,945,2024-07-26 11:16:40,11
236,Murtajāpur,Clouds,85,298.89,6.01,966,2024-07-26 11:16:40,11
237,Murum,Clouds,67,288.07,2.99,983,2024-07-26 11:16:42,11
238,Nagapur,Clouds,75,299.12,10.05,943,2024-07-26 11:16:43,11
239,Nāgothana,Clouds,91,299.87,3.75,1004,2024-07-26 11:16:43,11
240,Nagpur,Haze,89,301.16,4.12,965,2024-07-26 11:12:12,11
241,Nagpur,Haze,89,301.19,4.12,966,2024-07-26 11:16:44,11
242,Naldurg,Clouds,87,296.1,6.84,941,2024-07-26 11:16:45,11
243,Nampur,Clouds,71,299.88,9.4,940,2024-07-26 11:16:46,11
244,Nāndgaon,Clouds,66,301.11,11.99,949,2024-07-26 11:16:46,11
245,Nāndūra Buzurg,Clouds,79,300.17,6.29,971,2024-07-26 11:16:47,11
246,Nāndūra Buzurg,Clouds,79,300.17,6.29,971,2024-07-26 11:16:47,11
